Time_s,BCL_Filtered,BCC_Filtered
8.2785,2.14574426997251e-06,7.0699578589188e-05
8.279,4.58517474146003e-06,7.8450184556358e-05
8.2795,5.02679056588403e-06,8.18618512700634e-05
8.28,1.5219044434266e-06,8.02757132017624e-05
8.2805,-4.30947012923294e-06,7.53096376417115e-05
8.281,-8.59403510532468e-06,6.93295939830763e-05
8.2815,-9.31579950600712e-06,6.31501607356605e-05
8.282,-8.05629687106878e-06,5.5931653957101e-05
8.2825,-7.52889593215555e-06,4.70776153909297e-05
8.283,-8.32156635581909e-06,3.70773655979404e-05
8.2835,-8.66037343159269e-06,2.63115757613896e-05
8.284,-6.90355121088422e-06,1.43902389601732e-05
8.2845,-3.30848168374328e-06,1.70031899055417e-06
8.285,8.87182055652808e-07,-9.33649268066112e-06
8.2855,5.14747199248352e-06,-1.63413656516512e-05
8.286,9.503653154759e-06,-2.04898011445149e-05
8.2865,1.33202038610104e-05,-2.62863433168738e-05
8.287,1.54353976590005e-05,-3.66962880501873e-05
8.2875,1.56491030217041e-05,-4.93688324564458e-05
8.288,1.509160237553e-05,-5.90729687773694e-05
8.2885,1.46582615000416e-05,-6.35812420661615e-05
8.289,1.37975865042879e-05,-6.5555836995422e-05
8.2895,1.15748661285529e-05,-6.81436809833614e-05
8.29,8.62331972897629e-06,-7.02658120129813e-05
8.2905,7.20844303569979e-06,-6.7919291822941e-05
8.291,9.00137610630301e-06,-5.97765477867934e-05
8.2915,1.31379986338147e-05,-4.96670537077079e-05
8.292,1.70190102041606e-05,-4.26603965461869e-05
8.2925,1.89637212935972e-05,-3.98223493012237e-05
8.293,1.93790856856004e-05,-3.81213624334801e-05
8.2935,1.91533361422023e-05,-3.48711964001834e-05
8.294,1.78827784845459e-05,-3.04876040915136e-05
8.2945,1.45325008064016e-05,-2.65524251560343e-05
8.295,9.31026515294754e-06,-2.29471712616576e-05
8.2955,3.83584121816176e-06,-1.84328830676672e-05
8.296,-5.94677991140553e-07,-1.33264501796487e-05
8.2965,-4.22001270404423e-06,-9.72250678511096e-06
8.297,-8.1202451423646e-06,-8.52057029029758e-06
8.2975,-1.27592867007901e-05,-7.4282048898419e-06
8.298,-1.74542492506727e-05,-3.00866608989878e-06
8.2985,-2.1029047751475e-05,5.63713741700081e-06
8.299,-2.26321160406837e-05,1.60436569872356e-05
8.2995,-2.19642870924743e-05,2.48346127152332e-05
8.3,-1.92917123066168e-05,3.00455674607583e-05
8.3005,-1.56636771334622e-05,3.15464265456715e-05
8.301,-1.26051574155221e-05,3.0798745349127e-05
8.3015,-1.07615282792872e-05,3.0464910365022e-05
8.302,-9.05159433637138e-06,3.29001824783614e-05
8.3025,-6.06187636929475e-06,3.81836665740946e-05
8.303,-2.20420908780747e-06,4.39736453588733e-05
8.3035,4.8704054763036e-07,4.75131919783774e-05
8.304,8.17739046728512e-07,4.75712803605197e-05
8.3045,-2.07461044392007e-07,4.47879508971374e-05
8.305,-7.340156791904e-07,4.08736665664949e-05
8.3055,3.14164196316791e-08,3.74170519334716e-05
8.306,1.61553873163541e-06,3.47659857870893e-05
8.3065,3.21766617918089e-06,3.18864105732217e-05
8.307,4.21049092631457e-06,2.76792811929288e-05
8.3075,4.16469851971837e-06,2.23623248368744e-05
8.308,3.10376470634536e-06,1.70748228544247e-05
8.3085,1.75270261544929e-06,1.23804603224771e-05
8.309,1.18593969844807e-06,8.08543903987944e-06
8.3095,2.01963136346086e-06,4.51473149389222e-06
8.31,3.80536960067706e-06,2.84973813299829e-06
