Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
24.417,7.6003718910013e-06,3.70120015506852e-05
24.4175,7.59829095211619e-06,3.70310484763203e-05
24.418,7.59616000499835e-06,3.70493748649538e-05
24.4185,7.59398081109698e-06,3.70669743699528e-05
24.419,7.591755152671e-06,3.70838407193408e-05
24.4195,7.58948483232927e-06,3.70999677182844e-05
24.42,7.58717167256775e-06,3.71153492515816e-05
24.4205,7.58481751530343e-06,3.71299792861541e-05
24.421,7.58242422140518e-06,3.71438518735393e-05
24.4215,7.57999367022129e-06,3.71569611523817e-05
24.422,7.57752775910376e-06,3.71693013509239e-05
24.4225,7.57502840292923e-06,3.71808667894929e-05
24.423,7.57249753361636e-06,3.71916518829832e-05
24.4235,7.56993709963987e-06,3.72016511433331e-05
24.424,7.56734906554094e-06,3.72108591819944e-05
24.4245,7.56473541143411e-06,3.72192707123934e-05
24.425,7.56209813251068e-06,3.72268805523821e-05
24.4255,7.55943923853856e-06,3.72336836266778e-05
24.426,7.55676075335873e-06,3.72396749692906e-05
24.4265,7.5540647143782e-06,3.72448497259364e-05
24.427,7.55135317205966e-06,3.72492031564355e-05
24.4275,7.54862818940789e-06,3.72527306370939e-05
24.428,7.54589184145292e-06,3.72554276630667e-05
24.4285,7.54314621473006e-06,3.72572898507018e-05
24.429,7.54039340675696e-06,3.72583129398631e-05
24.4295,7.53763552550765e-06,3.72584927962299e-05
24.43,7.5348746888837e-06,3.72578254135727e-05
24.4305,7.53211302418254e-06,3.72563069160021e-05
24.431,7.52935266756291e-06,3.72539335601897e-05
24.4315,7.52659576350745e-06,3.72507017375591e-05
24.432,7.52384446428245e-06,3.72466079764458e-05
24.4325,7.52110092939463e-06,3.72416489442237e-05
24.433,7.51836732504488e-06,3.72358214493978e-05
24.4335,7.515645823579e-06,3.72291224436608e-05
24.434,7.51293860293509e-06,3.72215490239142e-05
24.4345,7.5102478460877e-06,3.72130984342511e-05
24.435,7.50757574048844e-06,3.72037680679014e-05
24.4355,7.50492447750305e-06,3.71935554691389e-05
24.436,7.50229625184473e-06,3.71824583351477e-05
24.4365,7.49969326100378e-06,3.71704745178506e-05
24.437,7.49711770467333e-06,3.71576020256965e-05
24.4375,7.49457178417118e-06,3.71438390254079e-05
24.438,7.49205770185781e-06,3.71291838436871e-05
24.4385,7.48957766055031e-06,3.71136349688825e-05
24.439,7.48713386293236e-06,3.70971910526122e-05
24.4395,7.48472851096021e-06,3.70798509113469e-05
